YOR315W		G2	99
YNL166C	BNI5	S	68
YDR518W	EUG1	G1/S	46
YBR098W	MMS4	G1/S	54
YLR273C	PIG1	M	166
YGR238C	KEL2	G1/S	46
YPL155C	KIP2	G1(P)	6
YPR185W	ATG13	G1/S	51
YLR326W		G1(P)	13
YLR274W	CDC46	G1(P)	18
YJL092W	HPR5	S	66
YJL079C	PRY1	G1(P)	28
YGL241W	KAP114	S	61
YOR372C	NDD1	S	67
YOR039W	CKB2	G1(P)	4
YLR457C	NBP1	S	56
YIL132C	CSM2	G1/S	40
YBR010W	HHT1	S	64
YMR177W	MMT1	G1(P)	18
YER014W	HEM14	G1	235
YMR011W	HXT2	G1(P)	4
YEL040W	UTR2	G1(P)	20
YPL115C	BEM3	G1(P)	28
YML101C	CUE4	M	157
YBL086C		M	162
YPL008W	CHL1	S	56
YOR058C	ASE1	M	166
YKL066W		G2	128
YDR014W	RAD61	G1/S	43
YBL031W	SHE1	S	74
YPL032C	SVL3	S	69
YKR037C	SPC34	M	148
YJL159W	HSP150	M	164
YOL011W	PLB3	M	157
YOR026W	BUB3	M	162
YNL283C	WSC2	S	58
YFR039C		G1	224
YMR031C		M	157
YFL062W	COS4	G1	225
YDL157C		G1/S	51
YPL116W	HOS3	M	152
YGR092W	DBF2	G2/M	137
YGL060W	YBP2	G1/S	50
YLR342W	FKS1	G1(P)	18
YLR135W	SLX4	G1/S	41
YKL185W	ASH1	M	163
YPR120C	CLB5	G1(P)	38
YLR373C	VID22	S	76
YJR143C	PMT4	G1/S	41
YFR042W		G1/S	45
YER016W	BIM1	S	58
YOL094C	RFC4	G1(P)	12
YHR123W	EPT1	S	71
YNL031C	HHT2	S	60
YLR380W	CSR1	G1(P)	13
YEL032W	MCM3	G1(P)	16
YLR084C	RAX2	G2	99
YHL048W	COS8	G1/S	47
YGL225W	VRG4	S	56
YDL127W	PCL2	G1(P)	35
YNL078W	NIS1	M	180
YML069W	POB3	G1/S	42
YCL063W	VAC17	G2	92
YGL201C	MCM6	G1(P)	18
YGR099W	TEL2	S	62
YAL022C	FUN26	G1(P)	19
YOR132W	VPS17	M	157
YOR111W		G1/S	52
YJL123C		M	180
YNL274C		M	148
YOR342C		G1(P)	12
YOR188W	MSB1	S	68
YNL209W	SSB2	G1(P)	17
YGR140W	CBF2	S	64
YDR180W	SCC2	M/G1	182
YBL063W	KIP1	S	64
YML038C	YMD8	G1(P)	3
YER032W	FIR1	S	69
YOR247W	SRL1	S	74
YHR061C	GIC1	S	69
YKL108W	SLD2	G1(P)	21
YDR052C	DBF4	M	168
YLR372W	SUR4	G1(P)	18
YDR309C	GIC2	G1(P)	30
YOR016C	ERP4	M/G1	190
YNL039W	BDP1	G1(P)	12
YGL075C	MPS2	G1	230
YBR041W	FAT1	G1/S	39
YOL147C	PEX11	M	158
YML012W	ERV25	M	153
YLR188W	MDL1	S	57
YLR079W	SIC1	M	164
YDR033W	MRH1	G1	286
YCR024C-A	PMP1	G1	196
YBR092C	PHO3	G1(P)	14
YPR075C	OPY2	M	164
YPL253C	VIK1	S	64
YKL092C	BUD2	G2	130
YKL008C	LAC1	G1	234
YJL201W	ECM25	G1(P)	35
YIL159W	BNR1	G1/S	41
YBR054W	YRO2	G1	209
YEL017W	GTT3	M	150
YBL023C	MCM2	G1(P)	26
YBR243C	ALG7	G1(P)	34
YIL123W	SIM1	S	61
YHL026C		G1(P)	6
YDR489W	SLD5	G1(P)	21
YBR302C	COS2	M	156
YHR151C		G1(P)	296
YDL010W		G1/S	42
YPR149W	NCE102	M	158
YOL008W		M	176
YMR307W	GAS1	G1(P)	20
YKL164C	PIR1	M	168
YKL116C	PRR1	M	154
YDL220C	CDC13	G1(P)	26
YGR286C	BIO2	G1(P)	29
YOR229W	WTM2	M	168
YOR081C		G1(P)	0
YLR154C		G1/S	51
YIL009W	FAA3	G2/M	136
YHR152W	SPO12	G2/M	142
YGR086C	PIL1	M	159
YGL175C	SAE2	M/G1	183
YGL065C	ALG2	G1/S	44
YEL047C		M	154
YBR015C	MNN2	G1(P)	24
YNL088W	TOP2	S	58
YNR067C	DSE4	M	172
YDR451C	YHP1	S	82
YDR219C		G2/M	142
YOR327C	SNC2	M	158
YMR095C	SNO1	G1(P)	38
YOL033W	MSE1	G1/S	50
YGR012W		G1/S	47
YGL012W	ERG4	G1(P)	30
YPL241C	CIN2	G1/S	46
YOL158C	ENB1	G2	128
YMR058W	FET3	G1(P)	34
YLR050C		G1/S	44
YJR057W	CDC8	G1/S	53
YGR177C	ATF2	G1(P)	27
YDR183W	PLP1	G1/S	50
YBR042C		M	175
YML065W	ORC1	S	86
YIR010W	DSN1	S	70
YNR001C	CIT1	G1/S	46
YNL188W	KAR1	G1(P)	2
YDR261C	EXG2	S	68
YDR055W	PST1	M	164
YPL158C		M	165
YNL165W		G1	262
YLR455W		S	70
YLR272C	YCS4	S	67
YML052W	SUR7	G2	124
YJR054W		G2	96
YJL097W		G1(P)	35
YGR042W		M	148
YDR089W		G1(P)	22
YDL248W	COS7	M	153
YOR368W	RAD17	G1/S	46
YOL069W	NUF2	M	162
YML132W	COS3	G1	222
YKL046C	DCW1	G1(P)	26
YJL194W	CDC6	G2/M	145
YBR001C	NTH2	G2/M	144
YPL232W	SSO1	G1(P)	14
YFL063W		G2/M	144
YDR222W		G1	290
YNL335W		M	161
YNL327W	EGT2	M	170
YMR003W		S	75
YJR161C	COS5	G1	223
YGR113W	DAM1	S	63
YDL055C	PSA1	M/G1	185
YOR066W		G1(P)	5
YMR296C	LCB1	G1(P)	11
YFL037W	TUB2	G2/M	134
YDR348C		G1(P)	21
YJR162C		M	154
YEL042W	GDA1	G1(P)	14
YDR191W	HST4	G1	242
YMR305C	SCW10	G1/S	39
YLL032C		S	88
YFR027W	ECO1	G1/S	45
YOR383C	FIT3	M	160
YLR297W		G1	248
YLR126C		G2	120
YER174C	GRX4	G1(P)	31
YBL010C		S	56
YGL253W	HXK2	G1/S	42
