Id	Name	Peak(min)	Error	Score
YJL159W	HSP150	164.5	1.159	4.64
YJL159W	HSP150	21	NA	1.35
YOL011W	PLB3	157	NQ	3.25
YEL075C				
YOR026W	BUB3	161.5	1.299	3.23
YOR026W	BUB3	45.5	NA	2.38
YNL283C	WSC2	58.5	1.183	6.35
YFR039C	YFR039C	154	NQ	0.74
YFR039C	YFR039C	224.5	NQ	1.98
YER189W				
YMR031C	YMR031C	157	1.699	5.03
YFL062W	COS4	146.5	NQ	2.44
YFL062W	COS4	225	NQ	3.37
YDL157C	YDL157C	51	NQ	1.55
YDL157C	YDL157C	98	NQ	1.52
YPL116W	HOS3	151.5	4.655	2.65
YPL116W	HOS3	68.5	NA	2.22
YGR092W	DBF2	137	1.893	4.58
YGL060W	YBP2	257.5	NQ	1.77
YGL060W	YBP2	50.5	NQ	1.91
YLR342W	FKS1	17.5	1.766	5.66
YLR135W	SLX4	41	NQ	2.92
YKL185W	ASH1	163	0.855	11.87
YPR120C	CLB5	38	1.792	2.91
YLR373C	VID22	156	NQ	2.31
YLR373C	VID22	76	NQ	3.21
YJR143C	PMT4	41	5.531	7.19
YFR042W	YFR042W	235	NQ	1.31
YFR042W	YFR042W	45	NQ	3.89
YER016W	BIM1	58	4.768	2.72
YOL094C	RFC4	12.5	2.611	4.28
YHR123W	EPT1	140	NQ	0.96
YHR123W	EPT1	71	NQ	2.73
YDR225W				
YNL031C	HHT2	152.5	5.230	2.51
YNL031C	HHT2	60	NA	2.71
YLR380W	CSR1	13	NQ	1.97
YLR380W	CSR1	175	NQ	1.40
YPR203W				
YEL032W	MCM3	15.5	1.728	4.67
YLR084C	RAX2	18	NA	1.83
YLR084C	RAX2	99	3.889	3.86
YHL048W	COS8	NA	NQ	
YGL225W	VRG4	15.5	NQ	3.52
YGL225W	VRG4	56.5	NQ	4.03
YDL127W	PCL2	161.5	NA	2.52
YDL127W	PCL2	35	1.213	4.75
YNL078W	NIS1	180	2.117	8.09
YML069W	POB3	158	NQ	1.83
YML069W	POB3	41.5	NQ	2.15
YCL063W	VAC17	92	4.899	3.98
YGL201C	MCM6	18	NQ	2.86
YGR099W	TEL2	61.5	NQ	2.76
YAL022C	FUN26	123.5	NQ	1.72
YAL022C	FUN26	19	NQ	2.71
YOR132W	VPS17	157	NQ	2.00
YOR132W	VPS17	42.5	NQ	1.85
YOR111W	YOR111W	158	NQ	1.87
YOR111W	YOR111W	51.5	NQ	2.90
YJL123C	YJL123C	180	NQ	1.78
YJL123C	YJL123C	231	NQ	1.35
YNL274C	YNL274C	148.5	5.578	4.42
YNL274C	YNL274C	198.5	NA	2.54
YOR342C	YOR342C	12.5	NQ	3.74
YOR342C	YOR342C	171	NQ	2.66
YOR188W	MSB1	68.5	4.220	2.52
YOR188W	MSB1	6	NA	2.03
YNL209W	SSB2	17	NQ	5.08
YNL209W	SSB2	95	NQ	1.76
YGR140W	CBF2	64	1.410	4.05
YDR180W	SCC2	182.5	NQ	1.32
YDR180W	SCC2	1	NQ	1.18
YBL063W	KIP1	64.5	2.753	3.81
YML038C	YMD8	160.5	NQ	1.64
YML038C	YMD8	3	NQ	1.68
YER032W	FIR1	151.5	NA	1.17
YER032W	FIR1	69	3.064	3.35
YOR247W	SRL1	74.5	9.175	11.27
YHR061C	GIC1	69	3.644	4.05
YKL108W	SLD2	21	2.541	3.75
YDR052C	DBF4	168.5	3.065	2.05
YDR052C	DBF4	38.5	NA	0.78
YLR372W	SUR4	18	2.153	5.56
YDR309C	GIC2	29.5	1.242	8.95
YPR202W				
YOR016C	ERP4	190	NQ	1.27
YOR016C	ERP4	34	NQ	1.26
YNL039W	BDP1	11.5	NQ	2.31
YNL039W	BDP1	61.5	NQ	1.05
YGL075C	MPS2	230	NQ	2.39
YGL075C	MPS2	45.5	NQ	1.40
YBR041W	FAT1	39	NQ	2.06
YOL147C	PEX11	157.5	NA	3.81
YML012W	ERV25	153	NQ	1.80
YML012W	ERV25	41	NQ	1.33
YLR188W	MDL1	293	NQ	1.54
YLR188W	MDL1	57	NQ	2.15
YLR079W	SIC1	164.5	0.791	9.86
YDR033W	MRH1	115	NA	1.31
YDR033W	MRH1	286.5	5.685	5.06
YCR024C-A	PMP1	196.5	NQ	0.31
YCR024C-A	PMP1	262	NQ	0.14
YBR092C	PHO3	14	NQ	13.41
YPR075C	OPY2	164.5	NQ	3.11
YPR075C	OPY2	36.5	NQ	1.43
YPL253C	VIK1	165.5	NQ	1.65
YPL253C	VIK1	64.5	NQ	2.73
YKL092C	BUD2	130.5	26.035	2.51
YKL092C	BUD2	38	NA	1.70
YKL008C	LAC1	175	NQ	1.45
YKL008C	LAC1	234.5	NQ	2.47
YJL201W	ECM25	114	NA	2.42
YJL201W	ECM25	35	1.931	2.94
YIL159W	BNR1	41	NQ	3.44
YBR054W	YRO2	209	1.283	10.91
YEL017W	GTT3	150.5	4.847	4.15
YEL017W	GTT3	72.5	NA	1.37
YBR009C				
YBL023C	MCM2	176.5	NA	1.64
YBL023C	MCM2	25.5	1.040	4.63
YFL065C				
YBR243C	ALG7	33.5	1.411	2.90
YIL123W	SIM1	61	0.690	12.44
YHL026C	YHL026C	114	NQ	1.51
YHL026C	YHL026C	6	NQ	3.76
YDR489W	SLD5	21	NQ	3.99
YBR302C	COS2	155.5	NQ	2.66
YBR302C	COS2	228	NQ	2.27
YHR151C	YHR151C	154.5	NQ	1.64
YHR151C	YHR151C	295.5	NQ	2.64
YFL061W				
YDL010W	YDL010W	122	NQ	2.56
YDL010W	YDL010W	41.5	NQ	3.65
YPR149W	NCE102	157.5	NA	3.87
YOL008W	YOL008W	176.5	NQ	1.91
YOL008W	YOL008W	63.5	NQ	1.53
YMR307W	GAS1	20	NA	4.55
YKL164C	PIR1	167.5	1.070	21.33
YKL116C	PRR1	154	NQ	2.24
YKL116C	PRR1	39.5	NQ	1.33
YDL220C	CDC13	26	NQ	2.52
YGR286C	BIO2	282.5	NQ	1.05
YGR286C	BIO2	29	NQ	1.56
YOR229W	WTM2	167.5	43.525	2.37
YOR229W	WTM2	7	NA	1.86
YOR081C	YOR081C	0.5	NQ	2.15
YOR081C	YOR081C	72.5	NQ	1.63
YLR154C	YLR154C	160.5	NQ	1.50
YLR154C	YLR154C	51	NQ	1.87
YIL009W	FAA3	136.5	NQ	2.23
YIL009W	FAA3	2.5	NQ	2.02
YHR152W	SPO12	141.5	1.402	10.11
YGR086C	PIL1	159	1.064	4.88
YGL175C	SAE2	NA	NQ	
YGL065C	ALG2	123.5	NQ	1.76
