Id	Name	Peak(min)	Error	Score
YDR310C	SUM1	186.5	NQ	1.29
YBR101C	FES1	228.5	NQ	0.79
YLR396C	VPS33	123.5	NQ	1.63
YLR396C	VPS33	181.5	NQ	1.18
YJR155W	AAD10	19.5	NQ	2.68
YJR155W	AAD10	79.5	NQ	1.46
YJL214W	HXT8	NA	NQ	
YIL115C	NUP159	138.5	NQ	1.94
YIL115C	NUP159	59.5	NQ	1.66
YDR480W	DIG2	46	2.239	4.77
YNR016C	ACC1	203.5	NQ	2.05
YNR016C	ACC1	61	NQ	1.57
YKR008W	RSC4	12	NQ	1.28
YKR008W	RSC4	75	NQ	1.68
YKL062W	MSN4	125	NQ	2.90
YKL062W	MSN4	250.5	NQ	1.71
YHR099W	TRA1	124.5	NQ	1.75
YHR099W	TRA1	32.5	NQ	1.88
YGR026W	YGR026W	213	NQ	1.92
YGR026W	YGR026W	53.5	NQ	2.53
YFR028C	CDC14	11.5	NQ	2.08
YFR028C	CDC14	146	NQ	2.60
YER091C	MET6	20	1.662	5.30
YER091C	MET6	85	NA	3.00
YDL028C	MPS1	163.5	NQ	1.87
YDL028C	MPS1	84	NQ	1.82
YIR017C	MET28	210.5	NQ	2.32
YIR017C	MET28	59	NQ	2.64
YHR104W	GRE3	145.5	NQ	3.87
YHR104W	GRE3	198.5	NQ	2.59
YFL045C	SEC53	39	2.206	3.07
YCR084C	TUP1	15	NQ	1.93
YCR084C	TUP1	87	NQ	2.26
YCL001W	RER1	6.5	NQ	1.42
YCL001W	RER1	98.5	NQ	2.55
YBR299W	MAL32	76.5	NQ	2.72
YBL082C	RHK1	23	NQ	3.38
YPL264C	YPL264C	155	NQ	2.18
YPL264C	YPL264C	246.5	NQ	3.74
YOR304C-A	YOR304C-A	288.5	NQ	2.36
YOR304C-A	YOR304C-A	66	NQ	1.08
YNL066W	SUN4	185	1.049	15.76
YML120C	NDI1	52.5	NQ	3.98
YLL023C	YLL023C	173	NQ	5.40
YKR101W	SIR1	69	NQ	1.66
YKL223W	YKL223W	231.5	NQ	1.56
YKL223W	YKL223W	56	NQ	3.94
YKL052C	ASK1	161	3.518	3.09
YKL052C	ASK1	279.5	NA	1.40
YHR119W	SET1	0.5	NQ	2.35
YHR119W	SET1	223	NQ	1.04
YGR252W	GCN5	54.5	NQ	4.21
YGL259W	YPS5	128.5	NQ	1.64
YDR460W	TFB3	119	NQ	1.88
YDR460W	TFB3	18	NQ	2.39
YBR078W	ECM33	100	NA	2.90
YBR078W	ECM33	21.5	NA	4.48
YAL060W	BDH1	131	NQ	4.82
YAL060W	BDH1	47.5	NQ	1.93
YNL180C	RHO5	152.5	50.870	2.10
YNL180C	RHO5	211.5	50.870	2.47
YMR208W	ERG12	175	NQ	2.27
YMR208W	ERG12	76.5	NQ	2.58
YLR335W	NUP2	11	NQ	1.92
YLR335W	NUP2	96.5	NQ	2.45
YLR314C	CDC3	22	NA	2.08
YLR314C	CDC3	74.5	9.771	3.87
YHR179W	OYE2	293.5	NQ	4.68
YHR179W	OYE2	93	NQ	2.44
YGL125W	MET13	29	NQ	1.92
YGL125W	MET13	75	NQ	1.36
YDR506C	YDR506C	119	NQ	1.34
YDR506C	YDR506C	50.5	NQ	0.87
YDR251W	PAM1	124.5	NA	2.79
YDR251W	PAM1	46	2.114	3.28
YDR116C	MRPL1	42.5	4.190	5.62
YDR096W	GIS1	159.5	NQ	3.70
YPR204W	YPR204W	144	NQ	2.02
YPR204W	YPR204W	27.5	NQ	2.03
YOL053W	YOL053W	130	NQ	3.25
YOL053W	YOL053W	49	NQ	2.74
YKL104C	GFA1	185	NQ	2.40
YKL104C	GFA1	33.5	NQ	1.28
YJR116W	YJR116W	131	NQ	1.51
YJR116W	YJR116W	35.5	NQ	1.65
YIR023W	DAL81	19	NQ	2.03
YIR023W	DAL81	98	NQ	2.01
YHR146W	CRP1	216	NQ	2.27
YHR146W	CRP1	269.5	NQ	2.06
YHR136C	SPL2	133	NQ	2.32
YHR136C	SPL2	234	NQ	1.13
YHR045W	YHR045W	213	NQ	1.20
YHR045W	YHR045W	35.5	NQ	3.16
YGR062C	COX18	121	NQ	1.68
YGR062C	COX18	43.5	NQ	4.20
YBL020W	RFT1	29	NQ	3.04
YBL020W	RFT1	96.5	NQ	1.75
YAL064C-A				
YIL063C	YRB2	132.5	NQ	1.66
YIL063C	YRB2	220.5	NQ	1.58
YHR205W	SCH9	154	NQ	2.43
YHR205W	SCH9	3.5	NQ	2.27
YHR175W	CTR2	129.5	NQ	2.00
YHR175W	CTR2	45.5	NQ	2.30
YHL046C	YHL046C	229	NQ	2.26
YHL046C	YHL046C	35	NQ	1.02
YGL037C	PNC1	170.5	25.665	5.25
YGL037C	PNC1	251.5	NA	2.12
YEL036C	ANP1	10.5	NQ	4.04
YEL036C	ANP1	82.5	NQ	1.41
YDR061W	YDR061W	123.5	3.500	3.03
YDR061W	YDR061W	52	7.462	4.26
YDR034C	LYS14	21.5	NQ	1.51
YDR034C	LYS14	99.5	NQ	1.74
YDL135C	RDI1	48	0.827	2.64
YBR049C	REB1	159	NQ	1.93
YBR049C	REB1	95	NQ	1.59
YPL274W	SAM3	210.5	NQ	0.99
YPL274W	SAM3	73	NQ	1.88
YOR377W	ATF1	135.5	NQ	2.96
YOR377W	ATF1	32.5	NQ	1.16
YOR085W	OST3	128	NQ	1.35
YOR085W	OST3	57.5	NQ	2.26
YNR026C	SEC12	186.5	NQ	2.10
YNR026C	SEC12	9.5	NQ	2.87
YMR105C	PGM2	140.5	NQ	4.11
YMR105C	PGM2	204.5	NQ	2.99
YLR108C	YLR108C	204.5	NQ	0.38
YHL021C	YHL021C	138	NQ	7.92
YHL021C	YHL021C	46.5	NQ	4.05
YGR289C	MAL11	163.5	NQ	3.74
YDR336W	YDR336W	162	NQ	2.08
YDR336W	YDR336W	252.5	NQ	1.40
YBL061C	SKT5	19	1.478	6.39
YOR228C	YOR228C	164	NQ	3.96
YOR187W	TUF1	108.5	NA	4.52
YOR187W	TUF1	45	NA	4.37
YNL322C	KRE1	155.5	NQ	2.35
YNL322C	KRE1	294.5	NQ	2.53
YLR424W	YLR424W	171	NQ	2.92
YLR424W	YLR424W	65.5	NQ	1.54
YLR393W	ATP10	49.5	NQ	3.33
YLR354C	TAL1	134	NQ	2.70
YLR354C	TAL1	216.5	NQ	2.02
YJR127C	ZMS1	233.5	NQ	2.29
YJR127C	ZMS1	85.5	NQ	1.94
YIL126W	STH1	4.5	NQ	1.37
YIL126W	STH1	64.5	NQ	1.78
YGL128C	CWC23	132.5	NQ	1.75
YGL128C	CWC23	273	NQ	1.81
YBR094W	YBR094W	187.5	NQ	2.28
YBR094W	YBR094W	262	NQ	2.46
YPL055C	LGE1	293.5	105.854	3.20
YPL016W	SWI1	162	NQ	2.93
YPL016W	SWI1	76	NQ	2.27
YMR270C	RRN9	NA	NQ	
YMR070W	MOT3	181.5	NQ	2.63
YMR070W	MOT3	86	NQ	1.99
YKL001C	MET14	18	NQ	8.63
YIL138C	TPM2	148.5	NQ	2.51
YIL138C	TPM2	80.5	NQ	4.03
YHR214W				
YER113C	YER113C	22	NQ	3.28
YBR059C	AKL1	174	3.473	3.55
YBR059C	AKL1	255.5	NA	2.13
YAL053W	YAL053W	101	NQ	1.59
YAL053W	YAL053W	2.5	NQ	2.34
YNL303W	YNL303W	228.5	NQ	1.51
YNL303W	YNL303W	60	NQ	2.81
YLR180W	SAM1	14	1.059	12.94
YDR399W	HPT1	13.5	NQ	5.04
YDR399W	HPT1	98	NQ	1.83
YBR215W	HPC2	183.5	NQ	2.15
YBR215W	HPC2	70.5	NQ	2.36
YBR157C	ICS2	158	NA	4.18
YBR157C	ICS2	266.5	2.123	3.09
YAR068W	YAR068W	7	NQ	2.51
YPR091C	YPR091C	147	NQ	1.22
YPR091C	YPR091C	254	NQ	1.24
YNL116W	YNL116W	160	4.879	3.02
YNL116W	YNL116W	277	NA	1.21
YNL052W	COX5A	104.5	NQ	3.03
YNL052W	COX5A	41	NQ	1.57
YML127W	RSC9	173	NQ	1.21
YML127W	RSC9	8.5	NQ	3.25
YML072C	YML072C	203	NQ	2.43
YML072C	YML072C	81.5	NQ	1.71
YLL061W	MMP1	179.5	NQ	1.92
YLL061W	MMP1	295.5	NQ	2.35
YKR029C	SET3	210.5	NQ	1.78
YKR029C	SET3	23	NQ	2.18
YIL119C	RPI1	216	NQ	1.97
YIL119C	RPI1	78	NQ	1.68
YGL035C	MIG1	135	2.930	3.30
YGL035C	MIG1	264	NA	2.29
YEL025C	YEL025C	216.5	NQ	0.44
YEL025C	YEL025C	78	NQ	1.22
YDR325W	YCG1	11	NQ	1.23
YDR325W	YCG1	78.5	NQ	2.53
YDR041W	RSM10	112	NA	3.10
YDR041W	RSM10	36	1.458	5.33
YPL247C	YPL247C	173	NQ	3.92
YOR363C	PIP2	146	1.557	6.16
YGR204W	ADE3	117	NQ	1.46
YGR204W	ADE3	22	NQ	4.26
YAL040C	CLN3	19.5	1.179	5.63
YOR191W	RIS1	192	NQ	2.47
YOR191W	RIS1	42.5	NQ	1.73
YLR304C	ACO1	134.5	NQ	3.32
YLR304C	ACO1	48.5	NQ	2.58
YLR088W	GAA1	212	NQ	2.75
YLR088W	GAA1	60	NQ	1.67
YKR098C	UBP11	142.5	NQ	3.68
YKR098C	UBP11	257	NQ	1.14
YHR016C	YSC84	142.5	2.063	5.67
YFR015C	GSY1	138.5	1.449	8.66
YDR122W	KIN1	164	NQ	4.48
YDR122W	KIN1	250.5	NQ	1.77
YDL027C	YDL027C	173	NQ	3.66
YDL027C	YDL027C	256.5	NQ	1.69
YBR204C	YBR204C	153.5	NQ	2.65
YBR204C	YBR204C	48.5	NQ	1.94
YBR103W	SIF2	127	47.757	2.07
YBR103W	SIF2	61.5	NA	1.72
YAR035W	YAT1	150.5	NQ	8.93
YPR141C	KAR3	61.5	4.110	3.77
YPL123C	RNY1	172.5	1.833	7.12
YNL036W	NCE103	166	NQ	4.15
YLR389C	STE23	126.5	NQ	1.76
YLR389C	STE23	29	NQ	3.06
YLL003W	SFI1	137.5	NQ	1.82
YLL003W	SFI1	253	NQ	1.62
YKR091W	SRL3	207	NA	0.89
YKR091W	SRL3	58	52.122	1.23
YJL062W	LAS21	51.5	NQ	2.68
YER033C	ZRG8	130.5	NQ	1.67
YER033C	ZRG8	213.5	NQ	2.61
YEL071W	DLD3	107.5	NQ	2.11
YEL071W	DLD3	20.5	NQ	4.03
YDR502C	SAM2	14	NQ	3.31
YDR502C	SAM2	91.5	NQ	3.82
YDR213W	UPC2	297	NQ	2.31
YDR085C	AFR1	169.5	3.618	3.71
YDR085C	AFR1	243	NA	3.42
YCR034W	FEN1	15.5	1.558	3.67
YCR034W	FEN1	79	3.097	3.93
YOR279C	RFM1	179	NA	1.45
YOR279C	RFM1	20.5	3.753	3.29
YNL172W	APC1	123	NQ	1.38
YNL172W	APC1	207	NQ	1.22
YMR295C	YMR295C	20	NQ	1.83
YMR295C	YMR295C	97	NQ	2.44
YMR252C	YMR252C	136.5	NQ	2.49
YMR252C	YMR252C	238	NQ	1.68
YLL012W	YLL012W	6.5	NQ	4.03
YLL012W	YLL012W	78.5	NQ	2.24
YKR021W	YKR021W	114.5	NQ	2.21
YKR021W	YKR021W	249	NQ	1.28
YKR001C	VPS1	147.5	NQ	2.39
YKR001C	VPS1	57.5	NQ	2.11
YIL157C	YIL157C	131.5	NQ	4.03
YIL157C	YIL157C	53	NQ	4.03
YIL147C	SLN1	281.5	NQ	1.50
YIL147C	SLN1	56	NQ	1.78
YGR227W	DIE2	261	NQ	2.12
YGR227W	DIE2	48.5	NQ	1.94
YER114C	BOI2	14.5	NQ	1.41
YER114C	BOI2	233.5	NQ	2.57
YDL058W	USO1	184	NQ	1.55
YDL058W	USO1	53.5	NQ	1.99
YOR018W	ROD1	161	1.674	4.47
YOR018W	ROD1	246.5	NA	1.83
YLR348C	DIC1	146	1.930	10.36
YLR288C	MEC3	233	NA	0.90
YLR288C	MEC3	66.5	93.096	0.80
YJL134W	LCB3	19	1.436	3.89
YJL093C	TOK1	164	NQ	3.08
YJL093C	TOK1	241	NQ	1.53
YGL242C	YGL242C	133.5	NQ	2.00
YGL242C	YGL242C	47	NQ	2.44
YDR497C	ITR1	103.5	NA	3.50
YDR497C	ITR1	180.5	NA	1.51
YCR005C	CIT2	35	64.430	2.09
YBR296C	PHO89	284.5	NQ	1.26
YBR296C	PHO89	33	NQ	1.81
YBL001C	ECM15	105	NQ	0.85
YBL001C	ECM15	155	NQ	2.05
YBL004W	UTP20	95.5	NQ	1.97
YBL004W	UTP20	9	NQ	4.62
YBL052C	SAS3	79	5.518	3.24
YBL064C	PRX1	157.5	NQ	3.14
YBL064C	PRX1	256.5	NQ	1.49
YBR043C	YBR043C	157	29.207	3.78
YBR043C	YBR043C	254.5	NA	2.97
YBR053C	YBR053C	175.5	NQ	5.16
YBR067C	TIP1	160	NA	3.38
YBR067C	TIP1	284.5	NA	1.56
YBR160W	CDC28	154	NA	1.44
YBR160W	CDC28	29.5	5.475	3.17
YBR162C	YBR162C	183.5	NQ	2.40
YBR162C	YBR162C	91	NQ	3.86
YBR218C	PYC2	100	NQ	1.30
YBR218C	PYC2	262	NQ	2.13
YBR242W	YBR242W	227.5	NQ	1.75
YBR242W	YBR242W	4	NQ	2.47
YBR252W	DUT1	60	NQ	2.84
YBR252W	DUT1	8	NQ	1.97
YBR287W	YBR287W	181	NQ	1.56
YBR287W	YBR287W	26	NQ	2.27
YCL027W	FUS1	165	NQ	2.92
YCL027W	FUS1	257	NQ	1.50
YCL038C	ATG22	160	NQ	2.16
YCL038C	ATG22	236.5	NQ	4.51
YCR040W				
YCR086W	CSM1	274	NA	1.50
YCR086W	CSM1	67.5	58.243	2.90
YDL031W	DBP10	300	NQ	2.57
YDL031W	DBP10	93	NQ	1.82
YDL037C	BSC1	2.5	NQ	3.17
YDL048C	STP4	252.5	NA	1.87
YDL048C	STP4	94.5	66.700	2.15
YDL089W	YDL089W	256	NQ	0.94
YDL089W	YDL089W	38	NQ	2.31
YDL117W	CYK3	167	1.067	8.33
YDL124W	YDL124W	177.5	NQ	4.10
YDL124W	YDL124W	264.5	NQ	2.54
YDR001C	NTH1	160	NQ	2.11
YDR001C	NTH1	244.5	NQ	1.12
YDR346C	SVF1	1.5	NQ	1.33
YDR346C	SVF1	87.5	NQ	2.44
YDR368W	YPR1	154.5	NQ	2.11
YDR368W	YPR1	203.5	NQ	1.84
YDR383C	NKP1	156.5	NQ	2.96
YDR383C	NKP1	54.5	NQ	1.31
YDR461W	MFA1	NA	NQ	
YDR493W	YDR493W	107	NA	3.35
YDR493W	YDR493W	44.5	1.260	6.22
YDR523C	SPS1	241.5	127.509	1.46
YDR523C	SPS1	63	NA	1.22
YER018C	SPC25	126	NA	2.04
YER018C	SPC25	42.5	2.381	2.93
YER019W	ISC1	124	NQ	1.81
YER019W	ISC1	41	NQ	2.87
YER042W	MXR1	187.5	NQ	1.70
YER042W	MXR1	247.5	NQ	1.70
YER150W	SPI1	157	NQ	4.66
YER150W	SPI1	236	NQ	3.70
YFL006W	YFL006W	153	68.391	2.36
YFL006W	YFL006W	237.5	NA	1.63
YFL011W	HXT10	NA	NQ	
YFL026W	STE2	235	84.738	1.82
YFL044C	YFL044C	131	NQ	1.91
YFL044C	YFL044C	265.5	NQ	2.23
YFR002W	NIC96	14.5	NQ	1.35
YFR002W	NIC96	80	NQ	1.92
YGL032C	AGA2	250.5	3.601	2.99
YGL089C	MF(ALPHA)2	127.5	NQ	2.04
YGL255W	ZRT1	299.5	NQ	3.38
YGR065C	VHT1	123.5	NA	1.69
YGR065C	VHT1	55	NA	2.81
YGR138C	TPO2	70.5	NQ	6.25
YGR146C	YGR146C	153.5	1.852	3.76
YGR146C	YGR146C	249	NA	3.00
YGR234W	YHB1	126	NQ	2.24
YGR234W	YHB1	23.5	NQ	2.21
YGR284C	ERV29	163	NQ	2.45
YGR284C	ERV29	209.5	NQ	4.08
YHR022C	YHR022C	155.5	NQ	1.69
YHR022C	YHR022C	239	NQ	1.68
YHR030C	SLT2	64	NQ	1.11
YHR126C	YHR126C	8.5	NQ	2.29
YHR137W	ARO9	140	1.426	10.57
YHR178W	STB5	139	60.257	1.96
YHR178W	STB5	237	NA	2.63
YIL025C				
YIL117C	PRM5	279	NQ	2.74
YIL167W	YIL167W	122.5	NQ	2.17
YIL167W	YIL167W	6	NQ	1.75
YIL169C				
YJL099W	CHS6	221.5	NQ	2.19
YJL099W	CHS6	38.5	NQ	1.08
YJL217W	YJL217W	149.5	1.878	11.96
YJR001W	AVT1	105	NQ	2.94
YJR001W	AVT1	264	NQ	1.82
YJR110W	YJR110W	167	NQ	2.65
YJR112W	NNF1	286.5	NQ	2.37
YJR112W	NNF1	72.5	NQ	1.93
YJR137C	ECM17	102	NQ	2.27
YJR137C	ECM17	21.5	NQ	3.16
YKL032C	IXR1	161	1.542	4.43
YKL043W	PHD1	160.5	NQ	1.40
YKL043W	PHD1	89	NQ	1.77
YKL048C	ELM1	5	NQ	1.56
YKL048C	ELM1	85	NQ	2.79
YKL065C	YKL065C	147.5	NQ	2.14
YKL065C	YKL065C	216	NQ	2.97
YKL069W	YKL069W	233.5	NQ	1.84
YKL069W	YKL069W	81	NQ	1.84
YKL103C	LAP4	164.5	NQ	3.35
YKL103C	LAP4	52	NQ	1.64
YKL127W	PGM1	123.5	14.436	3.85
YKL127W	PGM1	65	NA	2.89
YKL129C	MYO3	156	NQ	2.99
YKL129C	MYO3	259	NQ	1.68
YKL151C	YKL151C	146.5	NQ	3.82
YKL151C	YKL151C	237.5	NQ	3.37
YKL172W	EBP2	250.5	NQ	1.48
YKL172W	EBP2	6.5	NQ	4.02
YKL209C	STE6	160.5	NQ	1.44
YKL209C	STE6	247.5	NQ	1.70
YKR042W	UTH1	15.5	NA	2.48
YKR046C	PET10	160	4.904	3.77
YLR058C	SHM2	17	NQ	11.58
YLR099C	ICT1	15	NQ	1.86
YLR099C	ICT1	71	NQ	1.31
YLR209C	PNP1	84	75.491	0.80
YLR258W	GSY2	163	7.651	8.38
YLR286C	CTS1	190	4.973	11.57
YLR303W	MET17	119.5	NQ	1.18
YLR303W	MET17	23	NQ	1.98
YLR413W	YLR413W	20	NQ	9.11
YLR452C	SST2	194	96.556	1.00
YLR452C	SST2	72	96.556	1.22
YML066C				
YML100W	TSL1	160	6.800	8.02
YML123C	PHO84	25.5	NQ	5.14
YML125C	YML125C	293	NQ	3.60
YML125C	YML125C	75.5	NQ	1.27
YMR015C	ERG5	176.5	NQ	1.72
YMR015C	ERG5	269.5	NQ	2.53
YMR055C	BUB2	289.5	60.812	2.81
YMR163C	YMR163C	58.5	NQ	1.13
YMR189W	GCV2	11.5	NQ	4.50
YMR198W	CIK1	294	NA	1.29
YMR198W	CIK1	78	3.641	3.24
YMR202W	ERG2	104.5	NQ	2.77
YMR202W	ERG2	5	NQ	2.74
YMR238W	DFG5	173.5	NQ	1.67
YMR238W	DFG5	286.5	NQ	1.94
YMR254C				
YNL037C	IDH1	53	3.426	9.20
YNL053W	MSG5	292	NQ	2.09
YNL053W	MSG5	89	NQ	2.01
YNL056W	YNL056W	10.5	NQ	2.65
YNL056W	YNL056W	134.5	NQ	1.57
YNL111C	CYB5	292.5	NQ	3.29
YNL111C	CYB5	84.5	NQ	3.21
YNL134C	YNL134C	255.5	NQ	3.50
YNL134C	YNL134C	66	NQ	1.76
YNL145W	MFA2	116.5	NQ	1.83
YNL145W	MFA2	3.5	NQ	3.28
YNL173C	MDG1	145	35.094	5.09
YNL173C	MDG1	199	34.864	2.93
YNR044W	AGA1	155	0.911	3.58
YNR044W	AGA1	263.5	NA	1.78
YNR050C	LYS9	16	NQ	12.30
YOL014W	YOL014W	5	NQ	2.57
YOL016C	CMK2	148.5	NQ	3.35
YOL016C	CMK2	252	NQ	1.73
YOL088C	MPD2	154	NQ	3.72
YOR104W	PIN2	182.5	NQ	1.52
YOR104W	PIN2	287	NQ	1.87
YOR105W				
YOR129C	YOR129C	164.5	NQ	1.71
YOR129C	YOR129C	58	NQ	1.83
YOR130C	ORT1	280.5	NQ	1.91
YOR130C	ORT1	65.5	NQ	1.21
YOR152C	YOR152C	200	NA	0.94
YOR152C	YOR152C	53.5	85.098	0.58
YOR153W	PDR5	109	NA	1.73
YOR153W	PDR5	14.5	2.262	3.67
YOR256C	YOR256C	185.5	NQ	2.69
YOR256C	YOR256C	36.5	NQ	1.33
YOR273C	TPO4	141	1.708	7.21
YOR283W	YOR283W	215	NQ	1.63
YOR283W	YOR283W	2.5	NQ	4.38
YOR308C	SNU66	6.5	NQ	2.96
YOR308C	SNU66	79	NQ	1.43
YOR355W	GDS1	172	1.298	3.83
YOR355W	GDS1	255	NA	3.12
YPL058C	PDR12	297.5	NQ	1.78
YPL058C	PDR12	71.5	NQ	1.83
YPL075W	GCR1	239	NQ	1.88
YPL075W	GCR1	61	NQ	2.45
YPL133C	RDS2	14.5	NQ	1.06
YPL133C	RDS2	231.5	NQ	2.49
YPL187W	MF(ALPHA)1	31	1.896	10.47
YPR013C	YPR013C	21.5	NQ	4.99
YPR052C	NHP6A	83	2.843	3.18
YPR111W	DBF20	133	34.649	1.73
YPR155C	NCA2	150	NQ	3.46
YPR159W	KRE6	100.5	NA	2.53
YPR159W	KRE6	24.5	0.858	6.62
YPR167C	MET16	10.5	2.613	4.35
YPR167C	MET16	86	NA	2.03
