Gene name,ORF name,cer Ace2,par Ace2,Hyc Ace2,Hyp Ace2,cer Swi5,par Swi5,Hyc Swi5,Hyp Swi5,cer Fkh1,par Fkh1,Hyc Fkh1,Hyp Fkh1,cer Fkh2,par Fkh2,Hyc Fkh2,Hyp Fkh2
YPT52,YKR014C,310.5638279,716.6617934,451.0074835,639.7709592,518.1879855,423.2420532,351.7821541,813.2947417,453.4492247,508.2126468,485.5698094,406.5767861,561.0108792,493.2334967,801.019616,565.08598
YKR015C,YKR015C,350.006998,406.057106,579.4082348,472.9399723,554.9869918,590.0651161,424.3250722,701.5684619,321.5838626,468.4305706,209.0647791,264.274911,354.9557506,433.7598632,303.9305505,442.2525684
MIC60,YKR016W,397.6936756,666.4300533,588.6746776,663.4477634,588.4089268,801.9239323,529.0760499,757.6230965,348.7184306,762.0402291,337.2012565,413.3530659,386.1758632,645.7290131,386.2458316,874.213957
HEL1,YKR017C,222.3986765,406.9719434,381.184277,353.780574,463.8262137,326.634797,414.0019464,387.2794377,227.4892473,211.8069201,134.8805026,108.4204763,181.6803198,198.2777232,191.8549402,135.6171615
YKR018C,YKR018C,178.9300188,290.1936524,297.1562623,338.4626801,434.5438327,42.08100269,324.2283179,287.0392734,263.9884545,177.2187786,175.3446534,284.6037503,312.9190218,316.3301499,276.2491109,248.1385813
IRS4,YKR019C,278.7199774,362.3616461,539.7068787,403.5128015,538.02675,176.3706691,412.7648819,275.8956967,243.5691099,123.0581603,168.6006283,216.8409526,257.2825937,235.5605993,329.896743,199.8303462
VPS51,YKR020W,209.6174522,250.9972843,360.8639442,266.3916945,509.3634704,59.40897747,321.1763184,259.725956,252.8001707,162.8800566,377.6654073,284.6037503,236.7210465,242.6592383,236.2315783,168.4073324
ALY1,YKR021W,259.3048117,357.7382534,444.3529234,369.9592014,505.515513,339.2992452,406.794655,343.751496,263.552266,226.3049227,148.3685529,264.274911,595.3526827,372.361312,493.2377972,868.9964463
NTR2,YKR022C,199.3837323,440.0724465,356.2186962,412.9742425,464.8222161,320.9929414,443.5220156,301.3641371,245.2278245,466.1521644,128.1364775,264.274911,238.3369449,283.2092927,113.2313797,186.5391172
RQT4,YKR023W,217.252661,402.1775487,419.4011933,476.274988,533.2109776,251.4432791,477.7827737,501.7501505,261.7809015,454.4502299,195.5767288,514.9972624,278.0484042,411.861261,147.5113776,252.8579865
DBP7,YKR024C,292.3297914,402.9132668,403.1412733,335.0912172,518.0623102,287.7536628,438.716155,518.0075978,595.0029023,402.7272983,573.2421361,792.8247329,641.3417818,514.2956895,595.458857,659.6091323
RPC37,YKR025W,331.1597763,411.4207935,494.5010688,445.7330621,542.9932773,385.4852743,697.1543759,471.6748199,822.4638447,437.2357995,964.3955937,1036.770805,747.6565607,552.142848,664.3752512,634.878248
GCN3,YKR026C,357.9010571,574.8571921,501.1904122,479.0520424,613.9390715,28.89523868,633.7627425,475.5365389,768.2727403,886.2133536,883.4672922,4594.317683,477.4892714,425.3389917,389.7103943,676.4896668
BCH2,YKR027W,277.201495,422.2805868,390.2614695,358.3185503,483.756692,258.8683322,416.2495305,414.0792515,378.010703,385.552688,512.54591,379.471667,396.3162872,459.0625341,447.1222769,303.3954929
SAP190,YKR028W,1652.89185,1781.788129,2557.086352,2511.527115,1022.120469,1468.287764,2441.927514,2644.281163,556.5158577,442.7482954,559.7540859,433.6819052,807.1747332,394.3767763,752.6402709,437.7874598
SET3,YKR029C,423.3337078,889.723493,511.0792904,625.0716507,732.799372,967.9793111,649.6590388,912.9299267,1273.605188,780.7280051,1605.077981,1206.177799,2144.619193,1301.162727,3105.746397,2391.288358
GMH1,YKR030W,447.689705,735.4004255,516.1513474,512.2520709,703.9335952,1106.411188,673.2094144,916.3402503,1291.32757,803.6142121,1746.702509,1321.374555,2153.830485,1373.666671,3004.73638,2455.620628
SPO14,YKR031C,194.7583453,300.6632722,252.224273,285.9946791,460.8990163,145.8569303,396.1088276,252.8034808,362.9497244,482.09235,499.0578597,616.6414589,314.1822128,284.8036522,428.2660906,458.0502421
YKR032W,YKR032W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
YKR033C,YKR033C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DAL80,YKR034W,212.517206,387.2636555,272.4924537,261.453049,506.4702644,96.39671667,330.1996756,266.4283223,358.6858666,550.750971,667.658488,630.1940184,344.4664207,334.0667333,476.9533832,411.3467786
OPI8,YKR035C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAF4,YKR036C,190.697542,219.3809114,343.0958803,225.3120015,440.351696,204.5526183,350.0597429,499.4902617,244.2411114,143.0686588,188.8327037,210.0646728,206.7362445,209.9273702,98.70804615,105.6895783
SPC34,YKR037C,207.7838869,456.8992272,270.8871002,426.1120504,475.9709037,365.5332994,402.7533756,631.0267192,587.176442,732.7568253,667.658488,975.7842866,369.0314338,330.8579861,457.3413349,419.7697026
KAE1,YKR038C,403.3504867,536.3884247,566.6422858,450.0834018,528.8790284,920.4656893,575.1576439,774.6230373,611.6838834,418.6276638,998.1157194,311.7088693,634.0581994,439.7499657,739.5764492,442.1385409
GAP1,YKR039W,825.2825122,1157.78046,721.7257331,858.5839842,754.2933383,1553.993848,813.34809,960.4379715,2080.213786,2133.398237,5469.404381,2642.74911,3670.589015,1599.71293,5510.820459,2667.062815
YKR040C,YKR040C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
YKR041W,YKR041W,562.6375442,745.0089901,498.6696048,462.5038614,581.9157574,1169.769152,507.483028,561.5222273,792.1036669,542.2831263,694.6345885,365.9191075,1138.838919,1016.260588,834.2577094,591.4195709
UTH1,YKR042W,3677.69583,2748.668328,2558.204299,3495.566806,1107.981579,1958.845373,1102.564457,891.0969786,1218.283059,767.9907467,1355.549051,542.1023815,16422.71507,7488.826582,15995.2991,10317.11685
SHB17,YKR043C,198.0509383,410.0690815,276.9108203,272.6942201,489.6021555,50.17350321,286.4605546,265.3679212,467.4769982,292.2471159,647.4264126,304.9325896,496.8495912,210.0826351,307.7841433,145.3095258
UIP5,YKR044W,200.2713755,299.9184007,291.3996033,283.7341237,529.5079095,134.9571138,297.4907148,311.6360326,427.1066764,269.3210887,465.337734,210.0646728,454.6200372,221.401724,333.8731973,177.9740451
YKR045C,YKR045C,209.8936853,345.0944502,272.829211,335.942452,530.9147521,102.6329539,356.8940947,301.8864316,382.8162426,320.2476173,499.0578597,365.9191075,286.1064542,354.5462692,289.586789,368.4796084
PLN1,YKR046C,339.1670589,676.7170132,516.5331257,663.1414883,652.5371444,405.0088679,707.9600286,722.9282845,396.1878922,473.9828867,492.3138346,284.6037503,562.0462172,555.4300546,567.2977361,407.1027878
YKR047W,YKR047W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NAP1,YKR048C,234.1990983,1144.16346,293.2535848,830.1082176,562.6331536,790.8780369,243.2394043,1196.123107,262.8971971,453.693647,155.112578,277.8274705,383.9286833,409.3520327,238.2697046,313.5838979
FMP46,YKR049C,200.0734832,395.067399,289.9820963,426.7914391,558.118549,305.6129142,225.9960726,260.5874088,200.409359,214.0455061,107.9044021,135.5255954,191.2359105,334.1451927,214.032382,135.619412
TRK2,YKR050W,225.5382919,913.1905778,285.1829395,746.820733,507.05188,657.6855021,292.4267285,1018.156251,222.6033426,370.8555847,94.41635183,203.288393,285.5566891,373.6251134,230.6155963,228.7583537
HFL1,YKR051W,188.0455188,331.4444797,404.2342284,269.5278038,434.1464426,246.3500156,383.2320044,245.3034256,350.9630095,199.666964,350.6893068,162.6307144,261.2935234,271.4628118,172.2134496,262.426764
MRS4,YKR052C,812.9003797,1123.02586,1046.884703,1095.187566,801.2873993,442.7371203,954.0993678,831.3131363,544.9018007,513.7649629,579.9861613,237.1697919,1013.588121,619.4146395,1118.464227,911.5838212
YSR3,YKR053C,242.2729527,359.9215901,311.9155624,328.2764097,476.3890035,82.73542629,360.4406411,309.0000739,188.1104697,88.66911954,74.18427644,13.55255954,150.6957195,229.2399386,66.00592333,150.7764607
DYN1,YKR054C,213.1316448,353.7298185,284.8758824,289.9209812,482.9698708,136.2920613,306.9491831,340.2904942,1253.206376,1066.706042,789.0509403,1009.665685,1666.424464,909.8010306,1022.997219,1583.343016
RHO4,YKR055W,332.8150353,478.2205229,408.5658381,537.0976251,589.3359518,479.988596,729.7787985,556.4662031,19037.70647,4003.874304,41199.24952,19217.52942,6009.121408,2815.094265,8297.694935,7982.256404
